hamcrest-core,hamcrest/JavaHamcrest
junit,junit-team/junit4
postgresql,postgres/postgres
javafx-controls,openjdk/jfx
javafx-graphics,openjdk/jfx
javafx-base,openjdk/jfx
javafx-fxml,openjdk/jfx
eclipselink,eclipse-ee4j/eclipselink
jakarta.persistence,datanucleus/jakarta.persistence
commonj.sdo,eclipse-ee4j/eclipselink
javax.persistence,datanucleus/javax.persistence
spring-boot-starter-web,spring-projects/spring-boot
spring-boot-starter,spring-projects/spring-boot
spring-boot,spring-projects/spring-boot
spring-boot-autoconfigure,spring-projects/spring-boot
spring-boot-starter-logging,spring-projects/spring-boot
logback-classic,qos-ch/logback
logback-core,qos-ch/logback
log4j-to-slf4j,apache/logging-log4j1
log4j-api,apache/logging-log4j1
jul-to-slf4j,qos-ch/slf4j
jakarta.annotation-api,
snakeyaml,snakeyaml/snakeyaml
spring-boot-starter-json,
jackson-databind,
jackson-annotations,
jackson-core,
jackson-datatype-jdk8,
jackson-datatype-jsr310,
jackson-module-parameter-names,
spring-boot-starter-tomcat,
tomcat-embed-core,
tomcat-embed-el,
tomcat-embed-websocket,
spring-web,
spring-beans,
spring-webmvc,
spring-aop,
spring-context,
spring-expression,
lombok,
flyway-core,
flyway-mysql,
spring-boot-starter-data-jpa,
spring-boot-starter-aop,
aspectjweaver,
spring-boot-starter-jdbc,
HikariCP,
spring-jdbc,
jakarta.transaction-api,
jakarta.persistence-api,
hibernate-core,
jboss-logging,
byte-buddy,
antlr,
jandex,
classmate,
hibernate-commons-annotations,
jaxb-runtime,
txw2,
istack-commons-runtime,
jakarta.activation,
spring-data-jpa,
spring-data-commons,
spring-orm,
spring-tx,
slf4j-api,
spring-aspects,
mysql-connector-java,
spring-boot-starter-test,
spring-boot-test,
spring-boot-test-autoconfigure,
json-path,
json-smart,
accessors-smart,
asm,
jakarta.xml.bind-api,
jakarta.activation-api,
assertj-core,
hamcrest,
junit-jupiter,
junit-jupiter-api,
opentest4j,
junit-platform-commons,
apiguardian-api,
junit-jupiter-params,
junit-jupiter-engine,
junit-platform-engine,
mockito-core,
byte-buddy-agent,
objenesis,
mockito-junit-jupiter,
jsonassert,
android-json,apxiv/android-json
spring-core,
spring-jcl,
spring-test,
xmlunit-core,xmlunit/xmlunit
